iter	Passed	Remaining
837	22604	4369
838	22626	4341
839	22647	4313
840	22674	4286
841	22697	4259
842	22720	4231
843	22744	4203
844	22769	4176
845	22797	4149
846	22821	4122
847	22845	4094
848	22872	4067
849	22895	4040
850	22919	4012
851	22942	3985
852	22964	3957
853	22987	3929
854	23011	3902
855	23035	3875
856	23062	3848
857	23086	3820
858	23109	3793
859	23134	3766
860	23157	3738
861	23182	3711
862	23208	3684
863	23235	3657
864	23261	3630
865	23285	3603
866	23310	3575
867	23332	3548
868	23357	3521
869	23382	3493
870	23408	3466
871	23437	3440
872	23462	3413
873	23488	3386
874	23518	3359
875	23547	3333
876	23573	3306
877	23599	3279
878	23622	3251
879	23645	3224
880	23669	3197
881	23694	3169
882	23717	3142
883	23739	3115
884	23764	3088
885	23790	3061
886	23813	3033
887	23838	3006
888	23865	2979
889	23894	2953
890	23922	2926
891	23946	2899
892	23969	2872
893	23994	2844
894	24018	2817
895	24042	2790
896	24067	2763
897	24097	2737
898	24120	2709
899	24142	2682
900	24164	2655
901	24189	2628
902	24214	2601
903	24236	2573
904	24258	2546
905	24280	2519
906	24304	2492
907	24326	2464
908	24350	2437
909	24376	2410
910	24399	2383
911	24422	2356
912	24448	2329
913	24475	2302
914	24499	2275
915	24523	2248
916	24546	2221
917	24571	2194
918	24594	2167
919	24621	2140
920	24651	2114
921	24676	2087
922	24699	2060
923	24721	2033
924	24745	2006
925	24770	1979
926	24794	1952
927	24818	1925
928	24842	1898
929	24865	1871
930	24891	1844
931	24917	1818
932	24941	1791
933	24963	1764
934	24990	1737
935	25014	1710
936	25036	1683
937	25060	1656
938	25081	1629
939	25105	1602
940	25127	1575
941	25149	1548
942	25178	1521
943	25202	1495
944	25229	1468
945	25254	1441
946	25277	1414
947	25306	1388
948	25333	1361
949	25357	1334
950	25379	1307
951	25402	1280
952	25425	1253
953	25447	1227
954	25470	1200
955	25495	1173
956	25529	1147
957	25557	1120
958	25583	1093
959	25607	1066
960	25632	1040
961	25658	1013
962	25700	987
963	25723	960
964	25745	933
965	25769	906
966	25797	880
967	25822	853
968	25846	826
969	25869	800
970	25891	773
971	25919	746
972	25946	720
973	25970	693
974	25995	666
975	26020	639
976	26043	613
977	26070	586
978	26099	559
979	26122	533
980	26148	506
981	26174	479
982	26201	453
983	26229	426
984	26252	399
985	26275	373
986	26300	346
987	26325	319
988	26352	293
989	26375	266
990	26398	239
991	26426	213
992	26480	186
993	26507	160
994	26531	133
995	26555	106
996	26580	79
997	26602	53
998	26629	26
999	26652	0
